[GRPC],100,1024,283018.13,0.35,1.15,335.14,433.24
[KITEX_GRPC],100,1024,377035.90,0.27,0.51,296.31,520.15
[KITEX_TTS_LCONN],100,1024,219873.04,0.45,1.44,397.12,507.25
[KITEX_TTS_MUX],100,1024,296940.33,0.34,1.01,373.12,443.90
[GRPC],200,1024,308201.05,0.65,1.69,365.70,457.17
[KITEX_GRPC],200,1024,481652.58,0.42,1.44,347.53,609.75
[KITEX_TTS_LCONN],200,1024,218190.04,0.92,3.80,397.38,511.67
[KITEX_TTS_MUX],200,1024,340073.64,0.59,2.27,379.05,468.00
[GRPC],400,1024,330243.13,1.21,2.69,375.59,475.28
[KITEX_GRPC],400,1024,500970.22,0.80,3.58,354.33,627.51
[KITEX_TTS_LCONN],400,1024,213501.78,1.87,7.13,397.12,505.66
[KITEX_TTS_MUX],400,1024,385933.96,1.04,3.90,382.28,479.44
[GRPC],600,1024,338214.36,1.77,3.78,379.47,482.22
[KITEX_GRPC],600,1024,506057.65,1.19,5.07,354.98,621.06
[KITEX_TTS_LCONN],600,1024,204659.73,2.93,10.47,395.51,496.66
[KITEX_TTS_MUX],600,1024,412654.29,1.45,5.24,385.38,491.43
[GRPC],800,1024,341806.75,2.34,4.95,383.34,486.64
[KITEX_GRPC],800,1024,487937.20,1.64,6.67,354.72,609.95
[KITEX_TTS_LCONN],800,1024,192093.71,4.16,14.06,393.37,481.44
[KITEX_TTS_MUX],800,1024,410191.88,1.95,6.75,386.91,482.48
[GRPC],1000,1024,344077.20,2.91,6.16,385.99,485.91
[KITEX_GRPC],1000,1024,488943.46,2.04,8.12,363.67,612.25
[KITEX_TTS_LCONN],1000,1024,182551.43,5.48,17.81,391.96,473.09
[KITEX_TTS_MUX],1000,1024,400281.65,2.50,8.47,386.74,476.95